date,open,close,high,low,volume
2020-08-14 15:00:00,10.58,10.59,10.6,10.57,11515.8
2020-08-14 14:55:00,10.59,10.58,10.6,10.57,34635.2
2020-08-14 14:50:00,10.58,10.59,10.6,10.57,23555.0
2020-08-14 14:45:00,10.58,10.58,10.59,10.56,25078.7
2020-08-14 14:40:00,10.58,10.56,10.59,10.56,9017.0
2020-08-14 14:35:00,10.58,10.58,10.58,10.56,14088.7
2020-08-14 14:30:00,10.56,10.58,10.58,10.55,10232.6
2020-08-14 14:25:00,10.56,10.57,10.58,10.55,8181.0
2020-08-14 14:20:00,10.55,10.56,10.57,10.55,10479.0
2020-08-14 14:15:00,10.55,10.55,10.56,10.54,13323.3
2020-08-14 14:10:00,10.55,10.55,10.56,10.54,6506.0
2020-08-14 14:05:00,10.56,10.56,10.57,10.55,4046.0
2020-08-14 14:00:00,10.54,10.56,10.57,10.54,5131.43
2020-08-14 13:55:00,10.55,10.55,10.56,10.54,3536.0
2020-08-14 13:50:00,10.55,10.56,10.56,10.54,2546.0
2020-08-14 13:45:00,10.56,10.55,10.56,10.54,4683.0
2020-08-14 13:40:00,10.57,10.56,10.58,10.54,8874.0
2020-08-14 13:35:00,10.55,10.57,10.58,10.55,11854.8
2020-08-14 13:30:00,10.55,10.56,10.57,10.54,10593.0
2020-08-14 13:25:00,10.53,10.55,10.56,10.52,8130.0
2020-08-14 13:20:00,10.54,10.53,10.55,10.52,5310.0
2020-08-14 13:15:00,10.54,10.54,10.55,10.53,5665.0
2020-08-14 13:10:00,10.53,10.54,10.55,10.53,7811.19
2020-08-14 13:05:00,10.54,10.53,10.54,10.52,2842.97
2020-08-14 11:30:00,10.52,10.54,10.54,10.51,2280.01
2020-08-14 11:25:00,10.51,10.52,10.53,10.5,5995.61
2020-08-14 11:20:00,10.51,10.51,10.51,10.5,1384.0
2020-08-14 11:15:00,10.51,10.51,10.51,10.49,3206.2
2020-08-14 11:10:00,10.51,10.51,10.52,10.5,3491.0
2020-08-14 11:05:00,10.51,10.51,10.53,10.5,4960.74
2020-08-14 11:00:00,10.51,10.51,10.52,10.5,4068.0
2020-08-14 10:55:00,10.51,10.5,10.52,10.49,1390.8
2020-08-14 10:50:00,10.51,10.5,10.51,10.49,1940.0
2020-08-14 10:45:00,10.51,10.5,10.52,10.5,2662.83
2020-08-14 10:40:00,10.51,10.51,10.52,10.49,3632.9
2020-08-14 10:35:00,10.51,10.5,10.52,10.5,2595.86
2020-08-14 10:30:00,10.51,10.52,10.53,10.5,3684.15
2020-08-14 10:25:00,10.51,10.5,10.52,10.5,2926.0
2020-08-14 10:20:00,10.5,10.51,10.52,10.49,6342.0
2020-08-14 10:15:00,10.49,10.49,10.51,10.49,7446.88
2020-08-14 10:10:00,10.49,10.49,10.51,10.48,8521.97
2020-08-14 10:05:00,10.51,10.49,10.52,10.48,10730.8
2020-08-14 10:00:00,10.53,10.51,10.54,10.51,5190.0
2020-08-14 09:55:00,10.54,10.53,10.56,10.53,5644.0
2020-08-14 09:50:00,10.53,10.55,10.55,10.52,6599.15
2020-08-14 09:45:00,10.5,10.53,10.54,10.5,7816.0
2020-08-14 09:40:00,10.49,10.5,10.52,10.49,8004.61
2020-08-14 09:35:00,10.53,10.51,10.53,10.49,10963.0
2020-08-13 15:00:00,10.52,10.52,10.52,10.51,2539.0
2020-08-13 14:55:00,10.51,10.51,10.52,10.51,5277.52
2020-08-13 14:50:00,10.52,10.51,10.53,10.51,3024.02
2020-08-13 14:45:00,10.52,10.52,10.53,10.51,3075.79
2020-08-13 14:40:00,10.52,10.52,10.53,10.52,3730.21
2020-08-13 14:35:00,10.53,10.52,10.53,10.52,11527.0
2020-08-13 14:30:00,10.51,10.52,10.52,10.51,2406.66
2020-08-13 14:25:00,10.51,10.5,10.52,10.5,8159.0
2020-08-13 14:20:00,10.52,10.52,10.52,10.51,3304.56
2020-08-13 14:15:00,10.53,10.51,10.53,10.51,3589.0
2020-08-13 14:10:00,10.51,10.52,10.52,10.51,1731.0
2020-08-13 14:05:00,10.53,10.51,10.54,10.51,15734.0
2020-08-13 14:00:00,10.54,10.53,10.54,10.52,5318.69
2020-08-13 13:55:00,10.53,10.53,10.54,10.53,3883.31
2020-08-13 13:50:00,10.54,10.53,10.54,10.53,1896.0
2020-08-13 13:45:00,10.52,10.54,10.54,10.52,10806.0
2020-08-13 13:40:00,10.52,10.52,10.53,10.52,3458.0
2020-08-13 13:35:00,10.53,10.52,10.53,10.52,6613.16
2020-08-13 13:30:00,10.52,10.53,10.53,10.52,2834.0
2020-08-13 13:25:00,10.53,10.52,10.53,10.52,2951.0
2020-08-13 13:20:00,10.52,10.52,10.53,10.52,931.15
2020-08-13 13:15:00,10.53,10.52,10.53,10.51,3286.0
2020-08-13 13:10:00,10.51,10.53,10.53,10.51,2469.3
2020-08-13 13:05:00,10.53,10.51,10.53,10.51,3185.99
2020-08-13 11:30:00,10.51,10.53,10.53,10.5,5952.0
2020-08-13 11:25:00,10.52,10.52,10.53,10.51,5864.31
